"","session ID","colour","country","model photography","order","Page_max","Page_mean","mode_page1","price"
"1",1,6,29,2,9,5,2,2,42
"2",2,3,29,1,10,2,1,2,50
"3",3,4,21,1,6,5,1,3,42
"4",4,2,21,1,4,3,2,1,45
"5",5,14,9,1,1,2,2,3,57
"6",6,6,9,1,5,3,1,3,42
"7",7,6,29,1,11,4,2,4,37
"8",8,7,9,1,9,3,2,3,37
"9",9,4,29,1,3,2,1,1,41
"10",10,4,16,1,5,1,1,2,45
"11",11,3,9,1,1,1,1,1,72
"12",12,12,29,1,7,2,1,2,50
"13",13,3,38,1,3,1,1,1,38
"14",14,4,9,1,1,3,3,1,43
"15",15,12,21,1,25,4,1,2,47
"16",16,1,29,2,2,4,4,4,30
"17",17,13,9,1,7,4,2,2,38
"18",18,2,9,1,11,2,1,1,49
"19",19,11,29,1,5,2,1,3,39
"20",20,3,29,2,3,2,1,1,36
"21",21,2,29,1,7,1,1,2,40
"22",22,2,9,1,4,2,1,1,44
"23",23,2,29,1,3,4,2,1,41
"24",24,6,29,1,6,2,1,2,42
"25",25,6,9,1,2,1,1,2,43
"26",26,3,29,1,2,1,1,1,50
"27",27,3,9,2,5,1,1,3,46
"28",28,3,29,1,6,1,1,1,42
"29",29,3,29,1,3,1,1,1,44
"30",30,14,29,1,11,3,1,1,39
"31",31,1,29,1,12,4,1,3,44
"32",32,2,29,1,3,2,1,1,38
"33",33,4,29,1,21,4,1,4,41
"34",34,4,24,1,2,1,1,2,52
"35",35,1,24,1,5,2,1,1,50
"36",36,7,29,1,2,1,1,4,33
"37",37,9,29,1,7,2,1,1,48
"38",38,3,29,1,4,2,1,1,45
"39",39,8,41,1,2,2,1,1,38
"40",40,3,9,1,7,2,1,1,48
"41",41,8,9,1,2,2,1,1,30
"42",42,3,29,1,1,1,1,1,43
"43",43,13,9,1,23,2,1,2,52
"44",44,2,9,1,11,4,1,2,50
"45",45,2,12,2,3,2,1,1,43
"46",46,3,9,1,1,1,1,1,62
"47",47,2,29,1,5,3,1,2,46
"48",48,4,29,2,3,1,1,4,38
"49",49,3,9,1,41,4,1,1,43
"50",50,2,29,1,4,2,2,2,48
"51",51,3,9,1,4,1,1,1,58
"52",52,1,38,1,9,1,1,2,42
"53",53,3,9,1,3,1,1,1,38
"54",54,2,29,1,4,1,1,4,46
"55",55,4,29,1,8,1,1,3,39
"56",56,14,29,1,9,2,1,1,40
"57",57,1,41,1,3,4,3,4,33
"58",58,3,29,1,6,2,1,1,50
"59",59,11,24,1,2,3,3,3,55
"60",60,4,21,1,6,1,1,2,47
"61",61,2,24,1,6,2,1,2,48
"62",62,3,31,1,1,1,1,1,43
"63",63,9,9,1,5,1,1,3,39
"64",64,2,24,1,14,2,1,2,56
"65",65,1,24,1,4,2,1,1,45
"66",66,1,24,2,3,2,1,1,39
"67",67,3,24,1,21,4,1,1,44
"68",68,3,24,1,2,1,1,1,47
"69",69,4,24,1,12,4,1,3,47
"70",70,7,41,1,3,2,2,2,50
"71",71,1,9,1,1,1,1,1,33
"72",72,4,29,1,1,1,1,3,48
"73",73,2,29,1,1,2,2,1,38
"74",74,2,29,1,7,3,2,1,41
"75",75,10,29,1,1,1,1,2,52
"76",76,14,29,1,15,5,3,4,40
"77",77,2,29,1,6,1,1,2,46
"78",78,2,9,1,1,2,2,3,33
"79",79,2,29,1,12,2,1,4,38
"80",80,2,29,1,3,1,1,1,39
"81",81,4,29,1,8,1,1,2,45
"82",82,3,29,1,10,3,1,1,46
"83",83,2,29,1,9,1,1,4,41
"84",84,2,9,1,4,2,1,2,52
"85",85,9,24,2,1,1,1,3,28
"86",86,2,24,1,14,3,1,2,43
"87",87,3,41,1,4,1,1,1,44
"88",88,2,29,1,6,1,1,3,39
"89",89,9,29,1,1,2,2,3,50
"90",90,3,29,1,1,1,1,4,38
"91",91,2,29,1,5,1,1,3,43
"92",92,2,24,1,1,2,2,1,38
"93",93,3,24,1,1,1,1,1,43
"94",94,3,29,1,13,5,2,4,45
"95",95,13,9,1,2,4,4,3,48
"96",96,4,9,2,5,4,1,2,48
"97",97,2,21,1,1,1,1,4,43
"98",98,4,21,2,1,1,1,3,28
"99",99,2,29,1,9,2,1,2,46
"100",100,3,29,1,12,1,1,4,37
"101",101,3,29,2,1,1,1,2,57
"102",102,14,29,1,4,1,1,3,41
"103",103,2,9,1,4,1,1,1,38
"104",104,2,29,1,3,1,1,2,60
"105",105,2,29,1,2,1,1,2,59
"106",106,2,29,2,2,1,1,4,51
"107",107,3,29,1,27,4,1,4,36
"108",108,3,29,1,6,1,1,4,40
"109",109,2,29,1,5,2,1,1,46
"110",110,2,29,1,8,4,1,4,41
"111",111,2,29,1,1,1,1,2,62
"112",112,2,29,1,8,2,1,2,44
"113",113,9,24,1,9,2,1,2,49
"114",114,2,24,1,3,2,1,1,38
"115",115,5,9,1,2,4,3,1,35
"116",116,2,9,1,3,3,2,1,52
"117",117,14,29,1,1,3,3,3,38
"118",118,3,29,2,1,1,1,1,38
"119",119,3,9,1,10,3,1,1,50
"120",120,1,9,1,7,2,1,2,51
"121",121,1,29,1,8,3,1,1,36
"122",122,3,29,1,3,1,1,1,39
"123",123,7,29,1,8,2,1,4,36
"124",124,6,29,2,7,4,2,1,44
"125",125,2,29,1,38,3,1,2,45
"126",126,11,29,1,2,1,1,3,38
"127",127,14,29,1,6,2,1,1,39
"128",128,4,29,2,1,1,1,3,28
"129",129,6,29,1,1,1,1,3,33
"130",130,4,29,1,6,3,2,4,35
"131",131,2,29,1,3,1,1,3,43
"132",132,9,29,1,9,1,1,2,47
"133",133,1,29,1,4,1,1,2,56
"134",134,3,29,1,2,3,2,1,35
"135",135,2,29,1,4,3,1,4,36
"136",136,3,29,1,1,1,1,1,62
"137",137,3,29,1,3,1,1,1,41
"138",138,1,29,1,15,5,2,1,47
"139",139,3,29,1,6,1,1,4,51
"140",140,3,29,1,4,1,1,1,38
"141",141,3,29,1,4,1,1,1,34
"142",142,3,29,1,4,3,1,3,41
"143",143,4,29,1,5,5,2,4,41
"144",144,3,29,1,3,3,2,4,44
"145",145,3,29,1,4,2,1,1,55
"146",146,2,29,1,19,4,1,1,47
"147",147,2,29,2,1,1,1,4,38
"148",148,2,29,1,6,2,1,2,52
"149",149,2,29,1,4,1,1,1,40
"150",150,3,29,1,1,1,1,4,38
"151",151,9,29,1,1,1,1,3,23
"152",152,4,29,1,4,1,1,3,40
"153",153,6,29,1,6,3,1,3,37
"154",154,1,29,1,4,2,1,2,54
"155",155,1,29,1,2,1,1,1,47
"156",156,6,29,2,1,1,1,3,23
"157",157,14,29,1,32,4,1,4,40
"158",158,6,29,1,1,2,2,2,38
"159",159,6,29,2,2,3,2,1,47
"160",160,9,29,2,3,4,2,4,43
"161",161,6,29,1,1,1,1,3,33
"162",162,6,29,1,6,3,2,3,34
"163",163,6,29,1,3,1,1,3,36
"164",164,1,29,1,4,3,2,1,34
"165",165,6,29,1,6,2,1,2,49
"166",166,9,29,1,1,2,2,2,38
"167",167,2,44,2,5,1,1,3,40
"168",168,14,34,1,49,4,2,3,42
"169",169,2,29,1,1,1,1,2,67
"170",170,3,29,1,11,2,1,2,47
"171",171,6,29,1,8,1,1,1,45
"172",172,1,29,1,6,2,1,2,51
"173",173,2,29,1,27,2,1,2,46
"174",174,9,29,1,12,3,1,4,38
"175",175,3,29,2,1,1,1,2,57
"176",176,2,29,1,1,1,1,2,67
"177",177,2,29,1,4,2,1,1,43
"178",178,3,29,1,2,3,2,1,40
"179",179,2,29,1,3,2,1,2,57
"180",180,14,29,2,1,1,1,1,33
"181",181,14,29,1,14,5,2,4,42
"182",182,4,29,2,9,1,1,4,33
"183",183,3,29,1,18,1,1,1,48
"184",184,2,29,1,44,4,2,3,39
"185",185,2,29,1,2,1,1,4,33
"186",186,2,29,2,11,4,2,3,32
"187",187,2,29,1,9,4,2,4,36
"188",188,3,29,1,17,2,1,1,45
"189",189,2,29,1,2,1,1,1,40
"190",190,2,29,1,5,3,1,3,37
"191",191,6,29,2,1,4,4,3,57
"192",192,2,29,1,19,3,1,1,50
"193",193,2,29,1,6,2,1,3,42
"194",194,6,29,1,12,3,2,3,36
"195",195,3,29,1,7,4,1,1,37
"196",196,11,29,1,31,4,2,3,40
"197",197,3,9,1,8,1,1,1,45
"198",198,4,29,1,5,1,1,2,46
"199",199,13,29,1,1,1,1,3,48
"200",200,3,29,1,6,3,1,1,42
"201",201,7,29,1,30,4,2,2,38
"202",202,2,29,1,4,1,1,2,58
"203",203,2,29,1,3,1,1,2,39
"204",204,13,29,1,1,1,1,3,28
"205",205,4,29,1,2,2,1,2,47
"206",206,2,29,1,10,2,1,2,48
"207",207,14,29,1,11,1,1,3,42
"208",208,3,29,2,1,1,1,1,38
"209",209,2,29,1,1,1,1,1,62
"210",210,3,29,1,11,1,1,1,41
"211",211,3,29,1,19,3,1,1,45
"212",212,9,29,1,25,4,2,4,37
"213",213,1,29,1,10,2,1,1,48
"214",214,1,29,1,6,2,1,2,50
"215",215,6,29,1,6,2,1,2,44
"216",216,2,29,1,6,2,1,1,45
"217",217,2,29,1,7,3,1,1,47
"218",218,13,29,1,11,3,2,3,37
"219",219,2,29,1,2,1,1,4,40
"220",220,3,29,1,31,3,1,1,47
"221",221,4,29,1,2,1,1,3,40
"222",222,2,29,1,9,2,1,1,43
