"","session.ID","order","price","country","page.1..main.category.","colour","model.photography","page"
"1",1,9,42.1111111111111,29,2,6,2,1
"2",2,10,50,29,2,9,1,2
"3",3,6,42.1666666666667,21,3,6,1,1
"4",4,4,45.25,21,1,2,1,2
"5",5,1,57,9,3,14,1,2
"6",6,5,42.8,9,3,13,1,1
"7",7,11,37.8181818181818,29,4,6,1,1
"8",8,9,37.8888888888889,9,3,7,1,3
"9",9,3,41,29,1,4,1,1
"10",10,5,45.4,16,2,8,1,1
"11",11,1,72,9,1,3,1,1
"12",12,7,50.1428571428571,29,2,12,1,1
"13",13,3,38,38,1,3,1,1
"14",14,1,43,9,1,4,1,3
"15",15,25,47.52,21,2,12,1,1
"16",16,2,30.5,29,4,1,2,4
"17",17,7,38.5714285714286,9,3,13,1,2
"18",18,11,49.4545454545455,9,1,2,1,1
"19",19,5,39,29,3,11,1,1
"20",20,3,36.3333333333333,29,1,3,2,1
"21",21,7,40.7142857142857,29,2,2,1,1
"22",22,4,44,9,1,2,1,1
"23",23,3,41,29,1,2,1,1
"24",24,6,42.6666666666667,29,2,6,1,1
"25",25,2,43,9,2,6,2,1
"26",26,2,50,29,1,3,1,1
"27",27,5,46.8,9,3,3,2,1
"28",28,6,42.5,29,1,3,1,1
"29",29,3,44.3333333333333,29,1,3,1,1
"30",30,11,39.7272727272727,29,1,14,1,1
"31",31,12,44.25,29,3,1,1,1
"32",32,3,38,29,1,3,1,1
"33",33,21,41.6190476190476,29,4,4,1,1
"34",34,2,52.5,24,3,14,1,1
"35",35,5,50.4,24,1,1,1,1
"36",36,2,33,29,4,7,1,1
"37",37,7,48.8571428571429,29,2,9,1,1
"38",38,4,45.25,29,4,3,1,1
"39",39,2,38,41,3,12,1,2
"40",40,7,48.4285714285714,9,1,3,1,1
"41",41,2,30.5,9,1,8,1,1
"42",42,1,43,29,1,3,1,1
"43",43,23,52.8695652173913,9,2,13,1,2
"44",44,11,50.6363636363636,9,2,2,1,1
"45",45,3,43.6666666666667,12,1,3,2,1
"46",46,1,62,9,1,3,1,1
"47",47,5,46.6,29,2,4,1,1
"48",48,3,38,29,4,4,2,1
"49",49,41,43.5365853658537,9,3,3,1,1
"50",50,4,48.75,29,2,13,1,2
"51",51,4,58.5,9,1,3,1,1
"52",52,9,42.7777777777778,38,2,1,1,1
"53",53,3,38,9,1,3,1,1
